59,Method,Decision,Compound_ID,MZ,RT,HMDB_ID,"HMDB_ID_specificity (1=match,2=representative)",Metabolite,super_class,main_class,sub_class,1S,2S,3S,4SA,5SA,6SA,7Q,8Q,9Q,10QA,11QA,12QA,Syn/Ctrl,p value_Syn_vs_Ctrl,Syn AKI-KD/Ctrl AKI-KD,p value_AKI_KD_Syn_vs_AKI_KD_Ctrl
237,HILIC-pos,,QI08093,716.5217,5.67,HMDB0008928,2,PE 34:2,Glycerophospholipids,Glycerophosphoethanolamines,PE,2520779,2575488,2511658,2767512,2608074,3004301,2496306,2864365,2696882,4205493,2827026,2683305,1.059099952,0.238395543,1.159421839,0.422340392
9931,C8-pos,KEEP,QI08765,716.5218,8.71,HMDB0008928,2,PE 34:2,Glycerophospholipids,Glycerophosphoethanolamines,PE,12602031,16123045,13566359,16378827,16997432,19353959,13778987,17972202,15803242,31429563,18900858,17106607,1.124445907,0.335239625,1.278906679,0.346181779
243,HILIC-pos,,QI08036,744.5533,5.62,HMDB0008994,2,PE 36:2,Glycerophospholipids,Glycerophosphoethanolamines,PE,2650013,2949588,2781071,3127476,3061891,3338244,2814862,3068227,2756689,3820431,3245655,3034353,1.030917091,0.540091066,1.060122942,0.486301395
9935,C8-pos,KEEP,QI03245,744.5533,8.47,HMDB0008994,2,PE 36:2,Glycerophospholipids,Glycerophosphoethanolamines,PE,512996,718303,670892,647112,569396,715123,594926,804222,641086,1285858,865813,716975,1.072570525,0.631607191,1.485090061,0.149655964
242,HILIC-pos,,QI08041,742.5377,5.63,HMDB0009060,2,PE 36:3,Glycerophospholipids,Glycerophosphoethanolamines,PE,2273576,2420515,2426732,2442023,2324700,2712771,2128020,2504197,2288578,3369638,2557717,2670962,0.971909427,0.60784875,1.149585386,0.251814639
9934,C8-pos,KEEP,QI03470,742.5373,8.85,HMDB0009060,2,PE 36:3,Glycerophospholipids,Glycerophosphoethanolamines,PE,10533878,14045713,13243121,15537538,14466228,17958835,11150444,14306780,13985242,26928889,17489235,16849337,1.042824904,0.730440212,1.277400719,0.264252916
241,HILIC-pos,,QI08060,740.522,5.64,HMDB0008937,2,PE 36:4,Glycerophospholipids,Glycerophosphoethanolamines,PE,1604764,1616195,1746304,1683086,1401046,1760900,1287088,1529841,1675035,1886079,1585673,1777010,0.904313704,0.263646224,1.083328655,0.391490703
9933,C8-pos,KEEP,QI03275,740.5215,8.53,HMDB0008937,2,PE 36:4,Glycerophospholipids,Glycerophosphoethanolamines,PE,7656038,9169005,8960662,9638187,8813098,11565533,6460108,8937380,9858449,14722510,10829581,10735482,0.979454973,0.882329044,1.208908053,0.247796769
244,HILIC-pos,,QI08023,764.5186,5.61,HMDB0009102,2,PE 38:6,Glycerophospholipids,Glycerophosphoethanolamines,PE,14756,15621,14181,19809,21157,16210,22287,21509,16256,20974,24766,20680,1.347726559,0.056238084,1.161676228,0.194224558
9938,C8-pos,KEEP,QI03471,764.5192,8.85,HMDB0009102,2,PE 38:6,Glycerophospholipids,Glycerophosphoethanolamines,PE,1250535,1639016,1550248,1787853,1681837,2055161,1319228,1652204,1603244,2888238,1996068,1898109,1.030379078,0.788561088,1.227619532,0.277779629
